"route","audience_intent","cta_copy","position","target","solution","funnel_stage","target_type","resolved_url","strength"
"/company/","Declared page intent; confirm against editorial brief.","Explore the creative-direction portfolio →","text-link","portfolio/","Relevant experience proof","early-stage","internal","https://hardmagic.com/portfolio/","strong"
"/company/","Declared page intent; confirm against editorial brief.","Read the transformation brief →","text-link","briefs/modern-media-agency-transformation-playbook/","BriefLock private delivery","early-stage","internal","https://hardmagic.com/briefs/modern-media-agency-transformation-playbook/","strong"
"/company/","Declared page intent; confirm against editorial brief.","See how we engage →","text-link","engagements/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/","strong"
"/company/","Declared page intent; confirm against editorial brief.","Bring us a mandate","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/company/","Declared page intent; confirm against editorial brief.","Explore our capabilities","button ghost","services/","Specific service solution","primary","internal","https://hardmagic.com/services/","strong"
"/company/","Declared page intent; confirm against editorial brief.","Start a corporate conversation","button dark-button","contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/company/careers/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/careers/","Declared page intent; confirm against editorial brief.","Read how we work ↗","text-link","/company/principles/","Company context","early-stage","internal","https://hardmagic.com/company/principles/","strong"
"/company/careers/","Declared page intent; confirm against editorial brief.","Ready to move Introduce yourself Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/careers/","Declared page intent; confirm against editorial brief.","Still framing the question Read how we work Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/company/principles/","Company context","early-stage","internal","https://hardmagic.com/company/principles/","strong"
"/company/careers/","Declared page intent; confirm against editorial brief.","Introduce yourself","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/company/founder/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/founder/","Declared page intent; confirm against editorial brief.","Read the company story ↗","text-link","/insights/25-years-from-brand-studio-to-ai-company/","Research or method path","early-stage","internal","https://hardmagic.com/insights/25-years-from-brand-studio-to-ai-company/","strong"
"/company/founder/","Declared page intent; confirm against editorial brief.","Ready to move Request founder advisory Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/founder/","Declared page intent; confirm against editorial brief.","Still framing the question Read the company story Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/insights/25-years-from-brand-studio-to-ai-company/","Research or method path","early-stage","internal","https://hardmagic.com/insights/25-years-from-brand-studio-to-ai-company/","strong"
"/company/founder/","Declared page intent; confirm against editorial brief.","Request founder advisory","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/company/history/","Declared page intent; confirm against editorial brief.","Browse the timeline ↗","text-link","/company/","Company context","early-stage","internal","https://hardmagic.com/company/","strong"
"/company/history/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/history/","Declared page intent; confirm against editorial brief.","Ready to move Discuss the next chapter Use the relevant intake or engagement route.","enterprise-cta-option","/contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/history/","Declared page intent; confirm against editorial brief.","Still framing the question Browse the timeline Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/company/","Company context","early-stage","internal","https://hardmagic.com/company/","strong"
"/company/history/","Declared page intent; confirm against editorial brief.","Discuss the next chapter","button dark-button","/contact/","Qualified consultation intake","primary","internal","https://hardmagic.com/contact/","strong"
"/company/history/","Declared page intent; confirm against editorial brief.","Read Horizon 2035","button ghost","horizon/","Research or method path","primary","internal","https://hardmagic.com/horizon/","strong"
"/company/operating-model/","Declared page intent; confirm against editorial brief.","Enterprise advisory","header-cta","contact/","Qualified consultation intake","early-stage","internal","https://hardmagic.com/contact/","strong"
"/company/operating-model/","Declared page intent; confirm against editorial brief.","Ready to move Discuss a working model Use the relevant intake or engagement route.","enterprise-cta-option","/engagements/","Specific engagement solution","early-stage","internal","https://hardmagic.com/engagements/","strong"
"/company/operating-model/","Declared page intent; confirm against editorial brief.","Still framing the question Use the intent-to-system method Continue through a relevant brief, insight, method, or product.","enterprise-cta-option","/methods/intent-to-system/","Research or method path","early-stage","internal","https://hardmagic.com/methods/intent-to-system/","strong"
"/company/operating-model/","Declared page intent; confirm against editorial brief.","Use the intent-to-system method ↗","text-link","/methods/intent-to-system/","Research or method path","early-stage","internal","https://hardmagic.com/methods/intent-to-system/","strong"
"/company/operating-model/","Declared page intent; confirm against editorial brief.","Discuss a working model","button dark-button","/engagements/","Specific engagement solution","primary","internal","https://hardmagic.com/engagements/","strong"
